Country,Year,Incarcerated Population,Admissions Number,Releases Number,Release Rate,Population Size,Population Size 15+,Incarcerated Prevalence,Adjusted Incarceration Prevalence,Recidivism Percentage,Recidivism Probability,Recidivism Follow Up Years,Life Expectancy at Age 15,,,,,,,,,,,,
El Salvador,1996,NA,NA,NA,NA,5797000,3520000,NA,NA,NA,NA,NA,55.4,,,,,,,,,,,,
El Salvador,1997,NA,NA,NA,NA,5843000,3585000,NA,NA,NA,NA,NA,56.1,,,,,,,,,,,,
El Salvador,1998,NA,NA,NA,NA,5885000,3644000,NA,NA,NA,NA,NA,56.6,,,,,,,,,,,,
El Salvador,1999,NA,NA,NA,NA,5924000,3697000,NA,NA,NA,NA,NA,57.3,,,,,,,,,,,,
El Salvador,2000,7754,NA,NA,NA,5958000,3744000,130.1443437,207.1047009,NA,NA,NA,57.6,,,,,,,,,,,,
El Salvador,2001,NA,NA,NA,NA,5988000,3787000,NA,NA,NA,NA,NA,57.4,,,,,,,,,,,,
El Salvador,2002,10907,NA,NA,NA,6011000,3827000,181.4506738,285.0013065,NA,NA,NA,57.7,,,,,,,,,,,,
El Salvador,2003,NA,NA,NA,NA,6027000,3864000,NA,NA,NA,NA,NA,57.5,,,,,,,,,,,,
El Salvador,2004,NA,NA,NA,NA,6036000,3898000,NA,NA,NA,NA,NA,57.5,,,,,,,,,,,,
El Salvador,2005,NA,NA,NA,NA,6038000,3928000,NA,NA,NA,NA,NA,57.6,,,,,,,,,,,,
El Salvador,2006,14771,NA,NA,NA,6034000,3956000,244.7961551,373.3822042,NA,NA,NA,57.8,,,,,,,,,,,,
El Salvador,2007,NA,NA,NA,NA,6044000,3996000,NA,NA,NA,NA,NA,58,,,,,,,,,,,,
El Salvador,2008,19814,NA,NA,NA,6068000,4050000,326.5326302,489.2345679,NA,NA,NA,58.3,,,,,,,,,,,,
El Salvador,2009,NA,NA,NA,NA,6091000,4107000,NA,NA,NA,NA,NA,58.4,,,,,,,,,,,,
El Salvador,2010,24662,NA,NA,NA,6114000,4167000,403.3693163,591.8406527,NA,NA,NA,58.5,,,,,,,,,,,,
El Salvador,2011,NA,NA,NA,NA,6137000,4227000,NA,NA,NA,NA,NA,58.5,,,,,,,,,,,,
El Salvador,2012,27033,NA,NA,NA,6161000,4288000,438.7761727,630.4337687,NA,NA,NA,58.4,,,,,,,,,,,,
El Salvador,2013,NA,6634,NA,NA,6186000,4349000,NA,NA,0.11,NA,NA,58.2,,,,,,,,,,,,
El Salvador,2014,28334,6733,NA,NA,6210000,4409000,456.2640902,642.6400544,NA,NA,NA,58.2,,,,,,,,,,,,
El Salvador,2015,NA,10571,NA,NA,6231000,4463000,NA,NA,NA,NA,NA,58.2,,,,,,,,,,,,
El Salvador,2016,36824,NA,NA,NA,6251000,4515000,589.0897456,815.5924695,NA,NA,NA,58.4,,,,,,,,,,,,
El Salvador,2017,NA,NA,NA,NA,6267000,4560000,NA,NA,NA,NA,NA,58.6,,,,,,,,,,,,
El Salvador,2018,39642,NA,NA,NA,6276000,4595000,631.6443595,862.7203482,NA,NA,NA,58.8,,,,,,,,,,,,
El Salvador,2019,NA,NA,NA,NA,6280000,4621000,NA,NA,NA,NA,NA,58.8,,,,,,,,,,,,
El Salvador,2020,37190,NA,NA,NA,6293000,4652000,590.9740982,799.4411006,NA,NA,NA,57.2,,,,,,,,,,,,
El Salvador,2021,NA,NA,NA,NA,6314000,4687000,NA,NA,NA,NA,NA,56.8,,,,,,,,,,,,
El Salvador,2022,NA,NA,NA,NA,6336000,4726000,NA,NA,NA,NA,NA,57.5,,,,,,,,,,,,
Guatemala,1990,NA,NA,NA,NA,9085000,4951000,NA,NA,NA,NA,NA,53.8,,,,,,,,,,,,
Guatemala,1991,NA,NA,NA,NA,9330000,5100000,NA,NA,NA,NA,NA,53.7,,,,,,,,,,,,
Guatemala,1992,NA,NA,NA,NA,9577000,5251000,NA,NA,NA,NA,NA,53.6,,,,,,,,,,,,
Guatemala,1993,NA,NA,NA,NA,9832000,5409000,NA,NA,NA,NA,NA,53.8,,,,,,,,,,,,
Guatemala,1994,NA,NA,NA,NA,10095000,5571000,NA,NA,NA,NA,NA,53.9,,,,,,,,,,,,
Guatemala,1995,5814,NA,NA,NA,10363000,5734000,56.10344495,101.3951866,NA,NA,NA,54.2,,,,,,,,,,,,
Guatemala,1996,NA,NA,NA,NA,10632000,5902000,NA,NA,NA,NA,NA,54.6,,,,,,,,,,,,
Guatemala,1997,NA,NA,NA,NA,10905000,6075000,NA,NA,NA,NA,NA,55.1,,,,,,,,,,,,
Guatemala,1998,NA,NA,NA,NA,11184000,6257000,NA,NA,NA,NA,NA,55.6,,,,,,,,,,,,
Guatemala,1999,NA,NA,NA,NA,11464000,6442000,NA,NA,NA,NA,NA,56.2,,,,,,,,,,,,
Guatemala,2000,6974,NA,NA,NA,11736000,6620000,59.42399455,105.347432,NA,NA,NA,56.6,,,,,,,,,,,,
Guatemala,2001,NA,NA,NA,NA,12009000,6800000,NA,NA,NA,NA,NA,57,,,,,,,,,,,,
Guatemala,2002,8077,NA,NA,NA,12290000,6994000,65.72009764,115.4847012,NA,NA,NA,57.2,,,,,,,,,,,,
Guatemala,2003,NA,NA,NA,NA,12571000,7199000,NA,NA,NA,NA,NA,57.5,,,,,,,,,,,,
Guatemala,2004,8698,NA,NA,NA,12852000,7415000,67.67818238,117.3027647,NA,NA,NA,57.7,,,,,,,,,,,,
Guatemala,2005,NA,NA,NA,NA,13133000,7640000,NA,NA,NA,NA,NA,57.8,,,,,,,,,,,,
Guatemala,2006,7477,NA,NA,NA,13412000,7870000,55.74858336,95.00635324,NA,NA,NA,58.1,,,,,,,,,,,,
Guatemala,2007,NA,NA,NA,NA,13697000,8110000,NA,NA,NA,NA,NA,58.3,,,,,,,,,,,,
Guatemala,2008,8158,NA,NA,NA,13979000,8354000,58.35896702,97.65381853,NA,NA,NA,58.4,,,,,,,,,,,,
Guatemala,2009,NA,NA,NA,NA,14259000,8604000,NA,NA,NA,NA,NA,58.6,,,,,,,,,,,,
Guatemala,2010,11148,NA,NA,NA,14543000,8862000,76.6554356,125.7955315,NA,NA,NA,58.8,,,,,,,,,,,,
Guatemala,2011,NA,NA,NA,NA,14833000,9128000,NA,NA,NA,NA,NA,58.9,,,,,,,,,,,,
Guatemala,2012,15013,NA,NA,NA,15128000,9399000,99.2398202,159.7297585,NA,NA,NA,59.1,,,,,,,,,,,,
Guatemala,2013,NA,NA,NA,NA,15423000,9674000,NA,NA,NA,0.59,3,59.3,,,,,,,,,,,,
Guatemala,2014,18425,NA,NA,NA,15714000,9946000,117.2521319,185.2503519,NA,NA,NA,59.4,,,,,,,,,,,,
Guatemala,2015,NA,NA,NA,NA,16001000,10215000,NA,NA,NA,NA,NA,59.5,,,,,,,,,,,,
Guatemala,2016,21031,NA,NA,NA,16291000,10489000,129.0958198,200.5052913,NA,NA,NA,59.7,,,,,,,,,,,,
Guatemala,2017,NA,NA,NA,NA,16579000,10764000,NA,NA,NA,NA,NA,59.8,,,,,,,,,,,,
Guatemala,2018,24303,NA,NA,NA,16850000,11027000,144.231454,220.3953931,NA,NA,NA,59.9,,,,,,,,,,,,
Guatemala,2019,NA,NA,NA,NA,17106000,11284000,NA,NA,NA,NA,NA,60.2,,,,,,,,,,,,
Guatemala,2020,25538,NA,NA,NA,17363000,11550000,147.0828774,221.1082251,NA,NA,NA,58.7,,,,,,,,,,,,
Guatemala,2021,NA,NA,NA,NA,17608000,11810000,NA,NA,NA,NA,NA,56.1,,,,,,,,,,,,
Guatemala,2022,NA,NA,NA,NA,17844000,12063000,NA,NA,NA,NA,NA,55.6,,,,,,,,,,,,
